學院,系所,年級,編號,班別,科目名稱,科目名稱_中文,科目名稱_英文,任課教授,上課時數,正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
文學院,文學院學士班,1,1011101,01,華語文教學導論Introduction to Teaching Chinese as a Foreign Language ,華語文教學導論,Introduction to Teaching Chinese as a Foreign Language ,黃惠華 ,2,2/0/0,2,必修," 四4,5",文學院118,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1011101_01," ,列入華語文教學學程科目"
文學院,文學院學士班,1,1011117,01,華語語法教學設計Chinese Grammar Instructional Design ,華語語法教學設計,Chinese Grammar Instructional Design ,黃惠華 ,2,2/0/0,2,選修," 五4,5",文學院118,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1011117_01," ,列入華語文教學學程科目"
文學院,文學院學士班,1,1011410,01,劇場管理與實務Theatre Administration and Practice ,劇場管理與實務,Theatre Administration and Practice ,游富凱 鍾欣志 ,3,3/0/0,3,選修," 五7,8,9",文學院101,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1011410_01," ,列入「戲劇‧創意‧想像」學分學程科目"
文學院,文學院學士班,2,1012001,01,華人社會與文化Chinese Society and Culture ,華人社會與文化,Chinese Society and Culture ,蘇全正 ,2,2/0/0,2,選修," 三4,5",文學院140,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1012001_01," ,列入華語文教學學程科目"
文學院,文學院學士班,2,1012404,01,民眾劇場An introduction to Popular Theatre ,民眾劇場,An introduction to Popular Theatre ,郭亮廷 ,2,2/0/0,2,選修," 三4,5",文學院102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1012404_01," ,列入「戲劇‧創意‧想像」學分學程科目"
文學院,文學院學士班,2,1012417,01,音樂劇場的發展與變異The Development and Variation of Musical Theatre ,音樂劇場的發展與變異,The Development and Variation of Musical Theatre ,鍾欣志 ,3,3/0/0,3,選修," 四4,5,6",文學院101,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1012417_01,
文學院,文學院學士班,3,1013249,01,藝術賞析與創作技法表現Art Appreciation and Creative Techniques ,藝術賞析與創作技法表現,Art Appreciation and Creative Techniques ,戴明德 ,3,3/0/0,3,選修," 三10,11,12",文學院117,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1013249_01," ,列入藝術文物學程科目藝術文物學分學程選修課程"
文學院,文學院學士班,3,1013259,01,亞洲藝術史History of Asian Art ,亞洲藝術史,History of Asian Art ,賴國生 ,2,2/0/0,2,選修," 四13,14",文學院106,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1013259_01," ,列入藝術文物學程科目藝術文物學分學程選修課程"
文學院,中國文學系,1,1101212,01,詩選及習作（二）Selected Readings in Chinese Poems and Writing Practice (II) ,詩選及習作（二）,Selected Readings in Chinese Poems and Writing Practice (II) ,蔡榮婷 ,2,2/0/0,2,必修," 四10,11",文學院104,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1101212_01,先修科目(1101211)詩選及習作（一）(曾經修習) 限本系生修.外系限輔系、雙主修中文系學生修習
文學院,中國文學系,1,1101313,01,語言學概論Introduction to Linguistics ,語言學概論,Introduction to Linguistics ,曾若涵 ,3,3/0/0,3,選修," 三4,5,6",文學院101,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1101313_01,
文學院,中國文學系,1,1101412,01,國學導讀（二）Introduction to Sinology (II) ,國學導讀（二）,Introduction to Sinology (II) ,張書豪 ,2,2/0/0,2,必修," 二10,11",文學院104,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1101412_01,先修科目(1101411)國學導讀（一）(曾經修習) 限本系生修.外系限輔系、雙主修中文系學生修習
文學院,中國文學系,1,1101812,01,文學概論（二）Introduction to Literature (II) ,文學概論（二）,Introduction to Literature (II) ,黃錦珠 ,2,2/0/0,2,必修," 一8,9",文學院104,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1101812_01,先修科目(1101811)文學概論（一）(曾經修習) 限本系生修.外系限輔系、雙主修中文系學生修習
文學院,中國文學系,1,1101847,01,臺灣戲劇選讀Taiwanese Drama: Selected Readings ,臺灣戲劇選讀,Taiwanese Drama: Selected Readings ,郭亮廷 ,3,3/0/0,3,選修," 三7,8,9",文學院102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1101847_01," ,列入「戲劇‧創意‧想像」學分學程科目"
